-1513	-674	-4810	-3323	3196	-346	-534	-300	
-1530	-669	-4511	-2342	3175	-383	-552	514	
-1510	-619	-4451	-1167	3155	-279	-503	-597	
-1553	-641	-4531	-863	3216	-231	473	5557	
-1542	-686	-4678	-2398	3259	-204	1038	9947	
-1593	-663	-4595	-2548	3159	-182	1105	10713	
-1589	-590	-4567	-2020	3192	-196	449	6390	
-1518	-593	-4103	666	3235	-370	-970	-5253	
-1481	-563	-3551	4071	3124	-432	-1382	-10455	
-1455	-632	-3945	2766	3151	-374	-1087	-7639	
-1443	-602	-4244	-697	3210	-321	-551	-2406	
-1527	-678	-4455	-3039	3160	-328	-562	-1044	
-1513	-707	-4568	-4766	3151	-364	-956	-1493	
-1480	-598	-4260	-2220	3202	-332	-1085	-3743	
-1503	-599	-3978	164	3172	-409	-1365	-5171	
-1481	-535	-3758	1558	3152	-348	-1173	-3870	
-1526	-639	-4273	-722	3215	-302	-278	1668	
-1557	-652	-4464	-3226	3172	-242	-90	6064	
-1543	-667	-4523	-3999	3240	-240	201	6657	
-1601	-604	-4251	-2439	3227	-308	-735	2139	
-1549	-677	-4328	-1976	3154	-335	-279	1202	
-1513	-640	-3962	-715	3103	-380	-1395	-4523	
-1541	-575	-4039	-75	3132	-355	-1348	-5679	
-1482	-607	-4063	-363	3111	-387	-877	-3197	
-1517	-622	-4143	-1326	3103	-237	-236	4003	
-1579	-664	-4223	-1278	3128	-243	36	6590	
-1529	-630	-4106	-872	3233	-235	150	5569	
-1574	-595	-4080	-809	3092	-161	170	5232	
-1545	-641	-4114	-850	3159	-240	101	4599	
-1564	-615	-4135	-1158	3186	-191	304	5156	
-1560	-569	-4010	-968	3211	-162	289	4031	
-1537	-560	-3591	929	3130	-206	353	3521	
-1588	-551	-3483	2367	3118	-214	-62	891	
-1481	-570	-3479	1857	3141	-226	8	197	
-1532	-592	-3583	815	3216	-211	152	1819	
-1540	-530	-3271	1992	3109	-387	-1706	-8133	
-1483	-473	-3190	2882	3133	-494	-2722	-16699	
-1438	-533	-3319	1556	3143	-541	-2827	-17327	
-1403	-503	-3088	1571	3150	-444	-2621	-12954	
-1477	-483	-3279	725	3143	-355	-1470	-3835	
-1465	-531	-3304	-813	3152	-422	-1793	-1031	
-1526	-495	-3196	18	3173	-415	-2313	-4006	
-1476	-415	-2894	2093	3165	-466	-2600	-6819	
-1493	-430	-2820	3341	3188	-495	-2886	-8279	
-1472	-415	-2766	2882	3149	-402	-2286	-3522	
-1490	-508	-2971	993	3215	-388	-1665	1586	
-1536	-496	-2841	605	3195	-433	-2076	545	
-1476	-465	-3051	-11	3164	-456	-2055	-1216	
-1523	-463	-3072	-1204	3126	-404	-1985	-607	
-1493	-470	-2870	-30	3235	-451	-2261	-2318	
-1537	-465	-3031	-298	3227	-543	-2389	-3479	
-1473	-445	-2662	1348	3075	-567	-2837	-5975	
-1493	-379	-2607	1665	3145	-431	-2519	-5376	
-1462	-335	-2407	2523	3141	-427	-1961	467	
-1520	-371	-2433	2566	3029	-354	-1432	4763	
-1557	-422	-2971	-379	3191	-287	-616	9848	
