-1448	-95	-4163	-5646	2864	-750	-1166	2100
-1453	-115	-4846	-11717	2880	-635	-67	9466
-1520	-169	-4635	-11018	2851	-708	-258	9977
-1433	-99	-3968	-5475	2782	-758	-1256	1497
-1446	-110	-3842	-1247	2804	-862	-1397	-1746
-1409	-72	-3927	-1130	2899	-815	-1597	-2415
-1428	-117	-3898	-1432	2779	-870	-1387	-1896
-1428	-55	-3471	756	2677	-849	-1598	-2517
-1397	-87	-3655	1166	2787	-852	-1896	-4699
-1456	-195	-4743	-5438	2867	-872	-1218	-1051
-1464	-328	-5936	-13668	2912	-740	-143	7136
-1497	-237	-5549	-13947	2917	-646	-242	8174
-1504	-179	-4269	-4050	2791	-743	-683	3955
-1408	17	-2807	7816	2727	-887	-1886	-5114
-1393	21	-2679	11028	2731	-990	-2965	-13354
-1340	-24	-3149	7342	2711	-954	-2470	-11100
-1402	-35	-3343	2914	2852	-956	-2511	-7443
-1386	34	-2624	5084	2681	-1003	-3504	-11608
-1332	139	-1796	10490	2683	-1058	-3982	-15400
-1324	234	-1260	13480	2659	-1160	-5235	-19656
-1307	243	-415	16552	2676	-1272	-5849	-23732
-1292	303	212	18867	2675	-1137	-4943	-16251
-1278	421	1076	21759	2594	-1182	-4587	-8837
-1365	457	1235	22392	2699	-1172	-4972	-9282
-1276	410	685	14797	2652	-1232	-4964	-8987
-1361	314	-474	4547	2715	-1100	-3397	613
-1384	395	83	2818	2733	-1099	-3030	6509
-1441	421	657	7121	2672	-1091	-2885	7875
-1404	460	783	9205	2711	-1126	-3597	1699
-1404	333	-664	1467	2719	-1013	-2682	2868
-1432	137	-2452	-11689	2771	-845	-876	13484
-1528	77	-3011	-17832	2840	-706	244	21532
-1493	113	-2646	-14711	2789	-701	125	20105
-1492	118	-2389	-8714	2823	-788	-75	14224
-1483	90	-2799	-8095	2843	-658	1094	16385
-1525	86	-2929	-8005	2843	-589	1634	18510
-1510	124	-2576	-5022	2815	-595	1275	16648
-1487	108	-2904	-3917	2795	-649	714	8551
-1469	0	-4492	-12121	2855	-481	1631	10366
-1484	-195	-6016	-21734	2916	-404	2516	15928
-1548	-256	-6486	-24944	2991	-355	3484	20389
-1523	-242	-5723	-19097	2835	-350	2749	15388
-1529	-117	-4593	-7764	2835	-535	1479	4516
-1380	45	-3382	3397	2748	-751	-868	-12365
-1350	105	-2866	9444	2744	-808	-1951	-22948
-1281	93	-2668	10229	2664	-900	-2217	-21944
-1339	224	-2139	11108	2765	-909	-2782	-21628
-1272	164	-2044	10633	2722	-855	-1789	-12551
-1339	201	-2022	9229	2735	-743	-1391	-6295
-1405	118	-2307	5989	2741	-749	-1012	-1696
-1361	193	-2152	4416	2764	-833	-1995	-4155
-1402	177	-2171	3909	2745	-970	-2576	-9402
-1340	161	-2216	2752	2841	-926	-2663	-9479
-1380	79	-3039	-2377	2869	-773	-1282	-639
-1420	37	-3783	-8072	2832	-755	-844	4356
-1447	-95	-4435	-12520	2820	-717	-1204	4155
-1473	-65	-4414	-11824	2803	-768	-1171	1092
-1428	-28	-4174	-8323	2775	-810	-1180	2208
-1432	110	-2943	100	2783	-1014	-3095	-9747
-1329	185	-2083	8683	2724	-1083	-4027	-17790
-1325	240	-1404	12255	2707	-1185	-4726	-20804
-1303	264	-1447	12245	2713	-1134	-4114	-16397
-1297	253	-1585	8826	2723	-989	-3467	-8791
-1372	281	-1409	7606	2740	-944	-3186	-3415
-1339	303	-982	8853	2746	-973	-2513	1606
-1393	274	-1051	7787	2702	-971	-2672	1683
-1420	333	-1276	5213	2799	-879	-2199	3072
-1429	303	-1169	3883	2789	-1072	-3687	-3197
-1388	278	-1501	2093	2704	-1071	-3956	-9299
-1308	198	-2045	-2089	2851	-1055	-3547	-7330
-1394	203	-2273	-4979	2742	-1074	-3483	-4998
-1361	171	-2935	-7064	2797	-941	-2690	586
-1416	196	-2352	-5052	2811	-964	-2528	2551
-1404	289	-1542	1635	2796	-1093	-3471	-1929
-1351	388	-612	8932	2722	-1104	-4454	-10275
-1328	368	-972	8590	2676	-1173	-5014	-14716
-1309	244	-2151	3	2723	-1085	-3677	-8049
-1405	130	-3314	-8823	2941	-910	-1868	6979
-1465	137	-3522	-11701	2864	-755	-862	15998
-1453	200	-2335	-4529	2878	-759	-253	20057
-1498	372	-1059	7085	2818	-925	-1709	8476
-1374	398	-833	10944	2732	-917	-2333	-203
-1400	289	-1632	5477	2738	-916	-1956	-433
-1387	173	-2565	-2477	2827	-830	-1073	4779
-1436	218	-2512	-5130	2780	-796	-646	7562
-1453	265	-1904	-1485	2739	-806	-1091	5799
-1389	372	-1237	5036	2702	-922	-2033	-2365
-1407	409	-1167	6207	2673	-981	-2588	-8152
-1321	329	-1533	3648	2716	-1062	-3103	-11044
-1320	289	-1961	-711	2861	-1030	-3364	-11684
-1315	362	-1981	-1036	2796	-940	-2389	-4788
-1342	386	-1844	-161	2798	-903	-2288	-1338
-1385	322	-1452	2604	2836	-1000	-2950	-4089
-1338	365	-1658	2311	2683	-1000	-2816	-4843
-1414	294	-2088	-1460	2758	-939	-1713	1710
-1401	238	-2704	-4742	2716	-781	-359	11666
-1456	182	-2922	-7887	2838	-644	842	19793
-1493	224	-2855	-5765	2895	-679	161	15946
-1438	265	-2686	-3694	2908	-726	-333	8299
-1448	222	-2707	-2378	2716	-770	-478	3904
-1393	249	-2614	-1444	2742	-889	-1830	-5057
-1325	329	-1893	3226	2754	-1005	-3146	-14625
-1310	370	-1695	5413	2750	-999	-3266	-16059
-1269	353	-1580	6117	2722	-972	-3103	-13192
-1350	365	-1843	3431	2719	-977	-3099	-9563
-1292	353	-1933	2303	2767	-1044	-2877	-7490
-1340	276	-2301	-375	2739	-897	-1927	-859
-1402	265	-3067	-4747	2771	-889	-1585	3872
-1428	206	-3606	-8836	2884	-835	-1341	6192
-1456	169	-3899	-10632	2935	-833	-1584	4073
-1406	150	-3500	-8484	2775	-887	-1941	977
-1446	198	-3442	-5510	2756	-968	-2231	-2924
-1383	191	-3428	-3760	2733	-998	-2409	-4730
-1365	222	-3207	-1473	2827	-966	-2325	-3230
-1351	221	-3044	495	2753	-915	-2564	-5040
-1386	254	-2734	1943	2683	-956	-2285	-3384
-1339	309	-2259	4699	2774	-1025	-2749	-4170
-1365	363	-1733	7814	2659	-1011	-3107	-7047
-1322	362	-2205	5989	2679	-1029	-2938	-5088
-1392	281	-2497	1919	2717	-971	-2875	-3512
-1301	306	-2423	1060	2759	-1108	-3312	-5920
-1361	281	-2525	51	2807	-1119	-3754	-8833
-1325	297	-3091	-2935	2708	-1085	-3640	-7854
-1391	195	-3672	-6265	2848	-1023	-2653	-1166
-1357	202	-3487	-6776	2810	-1015	-2601	1291
-1410	285	-2728	-1633	2735	-1029	-2840	-109
-1360	370	-1816	5501	2588	-1116	-3374	-3615
-1397	395	-1755	8027	2699	-1037	-3259	-4303
-1319	346	-1963	6191	2745	-1045	-2891	-1876
-1388	286	-2847	-66	2748	-967	-2603	170
-1382	201	-3386	-5897	2763	-849	-898	10236
-1465	245	-3211	-5950	2840	-709	-229	16379
-1456	257	-3278	-4391	2784	-650	384	17796
-1488	231	-3504	-4963	2829	-541	1440	22113
-1518	241	-3551	-4752	2795	-563	1307	17657
-1510	163	-3957	-6508	2827	-547	1411	16108
-1477	149	-4085	-6631	2834	-761	69	6522
-1411	129	-3779	-4594	2775	-801	-413	-1959
-1413	182	-3485	-1924	2851	-781	-822	-3807
