-1433	-276	-4437	-2901	2681	-603	-1450	-634	
-1424	-271	-4461	-2720	2870	-625	-1224	2139	
-1475	-279	-4522	-2336	2846	-503	-454	5498	
-1480	-271	-4526	-3207	2745	-515	390	11148	
-1477	-315	-4647	-3296	2870	-455	686	12074	
-1523	-286	-4772	-4325	2841	-331	1149	13310	
-1523	-338	-4911	-4665	2896	-377	1556	14197	
-1485	-340	-5383	-6774	2899	-311	1469	12733	
-1549	-338	-5138	-6219	2871	-279	1522	10773	
-1484	-319	-5048	-4678	2844	-266	1228	8051	
-1454	-307	-4733	-1980	2842	-402	2	-1613	
-1453	-265	-4477	521	2754	-567	-940	-9409	
-1335	-261	-4309	1844	2843	-550	-1290	-12074	
-1360	-335	-4455	815	2767	-503	-949	-8926	
-1404	-299	-4396	-631	2773	-492	-773	-4163	
-1357	-258	-4186	545	2752	-525	-954	-4700	
-1396	-257	-3933	1784	2803	-555	-1873	-8183	
-1377	-291	-3832	2147	2729	-615	-2053	-9739	
-1375	-230	-3922	1102	2825	-618	-2169	-8834	
-1392	-267	-4134	-13	2880	-566	-1245	-3422	
-1401	-324	-4175	-1702	2953	-521	-883	2477	
-1465	-255	-4382	-2778	2823	-460	-531	3709	
-1466	-286	-4359	-3015	2867	-471	-445	6043	
-1450	-331	-4349	-2495	2801	-456	-545	3700	
-1497	-268	-4324	-2286	2813	-457	-814	1136	
-1407	-252	-3975	-366	2801	-554	-837	-201	
-1433	-309	-4356	-1885	2889	-401	-310	2853	
-1469	-298	-4487	-3559	2895	-461	-370	3456	
-1429	-346	-4806	-5067	2860	-366	15	4898	
-1465	-318	-4695	-4742	2869	-409	-275	3803	
-1442	-291	-4283	-2041	2947	-410	-182	3071	
-1436	-277	-3988	554	2803	-494	-1118	-2764	
-1427	-275	-4046	1353	2849	-501	-727	-2633	
-1395	-264	-3816	2315	2780	-527	-1137	-2790	
-1438	-243	-3538	2983	2860	-695	-2164	-9687	
-1347	-192	-3359	3689	2813	-777	-3302	-15931	
-1318	-238	-3359	3846	2817	-832	-3599	-18511	
-1351	-173	-3487	1353	2835	-697	-2838	-10926	
-1332	-220	-3653	-333	2855	-655	-2523	-5782	
-1384	-291	-3952	-2349	2810	-651	-1851	-25	
-1461	-242	-3927	-2948	2926	-628	-1917	928	
-1427	-299	-3923	-2649	2871	-641	-2067	-158	
-1427	-275	-3931	-2814	2803	-523	-1575	1851	
-1480	-307	-4054	-2847	2900	-627	-1675	2496	
-1399	-255	-3981	-2489	2835	-621	-2472	-3106	
-1409	-304	-3795	-856	2832	-666	-2476	-5054	
-1420	-225	-3671	83	2811	-630	-2316	-3634	
-1376	-246	-3860	-761	2861	-722	-3100	-7068	
-1391	-197	-3520	-147	2752	-726	-3453	-9509	
-1378	-239	-3266	1947	2772	-853	-3830	-11659	
-1318	-211	-3387	1813	2783	-765	-3527	-8898	
-1377	-208	-3455	1071	2731	-814	-3679	-7647	
-1401	-152	-3170	1327	2671	-808	-3291	-5309	
-1350	-183	-3185	1643	2788	-759	-2652	-86	
-1429	-204	-3248	1041	2807	-803	-3227	-1283	
-1409	-234	-3174	1059	2810	-797	-3423	-3959	
-1349	-175	-3201	587	2864	-850	-3578	-4895	
-1405	-223	-3295	-674	2780	-791	-3300	-3061	
-1385	-151	-3162	-442	2800	-802	-3615	-3975	
-1388	-183	-3472	-1309	2771	-741	-3006	-1044	
-1443	-278	-3781	-3515	2746	-824	-2741	1656	
-1421	-227	-4076	-5340	2795	-740	-2741	1299	
-1417	-269	-3946	-4779	2883	-750	-2526	1726	
-1460	-263	-3890	-3149	2779	-715	-2301	3074	
-1427	-291	-3927	-2593	2784	-665	-1477	5949	
-1469	-237	-4173	-4480	2879	-572	-607	13059	
-1516	-307	-4068	-4024	2744	-554	-92	14587	
-1486	-227	-3954	-2416	2860	-551	-516	10857	
-1509	-208	-3707	-568	2783	-524	-247	8609	
-1480	-238	-3526	415	2847	-430	-30	8836	
-1462	-270	-3719	231	2847	-544	-66	7504	
-1512	-258	-3666	205	2764	-502	-352	4207	
-1476	-293	-4090	-2487	2743	-619	-978	247	
-1400	-271	-4315	-4814	2821	-529	-1285	-4099	
-1449	-319	-4287	-4731	2886	-603	-1273	-2784	
-1402	-262	-4091	-2975	2999	-627	-1437	-4159	
-1384	-255	-4074	-1287	2727	-669	-1644	-5461	
-1438	-302	-4093	-1762	2795	-671	-1400	-4480	
-1369	-353	-4489	-4149	2795	-447	52	6134	
-1461	-308	-4551	-4974	2910	-402	401	10306	
-1499	-356	-4262	-2692	2690	-448	217	9312	
-1449	-335	-4371	-2555	2879	-453	225	7155	
-1469	-323	-4400	-2693	2861	-419	-287	2376	
-1446	-330	-4274	-1780	2736	-563	-1194	-3575	
-1412	-279	-4119	-1199	2772	-621	-1924	-9628	
-1377	-314	-4167	-942	2839	-629	-2192	-12021	
-1360	-327	-4451	-2297	2883	-628	-1533	-6221	
-1413	-311	-4070	-1439	2660	-658	-1910	-5474	
-1400	-293	-3752	1373	2880	-588	-1661	-3765	
-1389	-262	-3707	1784	2771	-627	-1237	-651	
-1469	-301	-3839	340	2811	-534	-1269	1368	
-1398	-309	-3907	-460	2772	-604	-1319	-359	
