44	-179	-3722	-30	-2525	-695	-3167	-6879	
29	-244	-3702	622	-2653	-794	-3382	-7892	
42	-255	-3640	1359	-2581	-686	-2594	-4784	
33	-211	-3787	-251	-2565	-578	-1789	2619	
-73	-183	-3551	341	-2503	-651	-2549	502	
-4	-221	-3342	1875	-2517	-674	-2745	-3612	
33	-183	-3067	3489	-2506	-753	-2963	-3442	
-23	-159	-3059	3864	-2545	-687	-2473	-2414	
22	-171	-3202	1881	-2440	-623	-2320	503	
-3	-267	-3671	-1917	-2587	-629	-2139	3292	
-39	-193	-3391	-1949	-2544	-659	-2349	-1109	
47	-214	-3551	-1873	-2504	-688	-2488	-1879	
1	-208	-3815	-3127	-2453	-623	-2067	19	
-35	-251	-4210	-5379	-2513	-529	-1136	6454	
-24	-244	-4191	-5819	-2586	-523	-1377	6606	
-50	-255	-3963	-3485	-2541	-576	-1345	3350	
-22	-251	-3974	-3032	-2585	-595	-1493	2145	
-67	-275	-4282	-4516	-2492	-606	-1621	1116	
-21	-294	-3999	-2626	-2538	-646	-1876	-2328	
33	-231	-3719	-457	-2540	-605	-1957	-3394	
-11	-242	-3764	-426	-2506	-654	-1794	-636	
49	-213	-3490	1074	-2532	-695	-2523	-4368	
29	-227	-3677	708	-2576	-695	-2659	-6521	
34	-163	-3365	1517	-2523	-754	-3260	-9160	
62	-192	-3378	2221	-2534	-853	-3516	-10967	
53	-183	-3312	1599	-2514	-776	-3343	-9288	
67	-151	-3503	-220	-2525	-692	-2517	-2575	
-31	-215	-3765	-2407	-2525	-605	-1539	5000	
-47	-183	-3636	-1984	-2490	-596	-1403	7160	
-46	-172	-3451	-718	-2483	-597	-1587	6214	
-38	-173	-3133	1277	-2528	-737	-2137	1323	
0	-83	-2954	3237	-2549	-781	-3231	-7268	
45	-159	-2763	3611	-2529	-780	-3194	-9387	
74	-174	-3202	957	-2554	-767	-2397	-3263	
-21	-177	-3505	-1710	-2458	-623	-1758	2431	
-23	-239	-3591	-2915	-2541	-648	-1675	2994	
-2	-222	-3755	-3734	-2538	-650	-1877	2187	
-30	-195	-3767	-3813	-2554	-712	-2193	-240	
-19	-239	-3842	-4058	-2574	-634	-1312	2403	
-11	-210	-4011	-4650	-2470	-530	-896	7895	
